Name,plot,date,x,y
RUE_01_01,1,6/20/2023,-109.16534,41.87512
RUE_23_02,2,6/20/2023,-109.26828,41.88803
RUE_23_03,3,6/20/2023,-109.192,41.91566
RUE_23_04,4,6/20/2023,-109.17255,41.93344
RUE_23_05,5,6/20/2023,-109.10483,41.96198
RUE_23_06,6,6/21/2023,-109.43813,41.91764
RUE_23_07,7,6/21/2023,-109.37692,41.93267
RUE_23_08,8,6/21/2023,-109.52054,41.96764
RUE_23_09,9,6/21/2023,-109.33329,42.15509
RUE_23_10,10,6/22/2023,-109.32904,42.02397
RUE_23_11,11,6/22/2023,-109.5996,42.00197
RUE_23_12,12,6/22/2023,-109.61003,42.02943
RUE_23_13,13,6/22/2023,-109.61539,42.086
RUE_23_14,14,6/23/2023,-109.6802897,42.24377985
RUE_23_15,15,6/23/2023,-109.72688,42.1887
RUE_23_16,16,6/23/2023,-109.68031,42.14969
RUE_23_17,17,6/23/2023,-109.65388,42.15908
RUE_23_18,18,6/26/2023,-110.22944,41.93941
RUE_23_19,19,6/26/2023,-110.25096,41.92537
RUE_23_20,20,6/26/2023,-110.28222,42.02703
RUE_23_21,21,6/26/2023,-110.11757,41.99396
RUE_23_22,22,6/27/2023,-110.04493,41.91568
RUE_23_23,23,6/27/2023,-110.20827,41.98752
RUE_23_24,24,6/27/2023,-110.18944,41.99575
RUE_23_25,25,6/27/2023,-110.24311,42.16271
RUE_23_26,26,6/28/2023,-109.81791,42.23112
RUE_23_27,27,6/28/2023,-109.77534,42.26936
RUE_23_28,28,6/28/2023,-109.89109,42.12226
RIE_23_29,29,6/28/2023,-109.90842,42.12717
RUE_23_30,30,6/29/2023,-109.90385,42.1688
RUE_23_31,31,6/29/2023,-109.95991,42.16355
RUE_23_32,32,6/29/2023,-110.06783,42.10762
RUE_23_33,33,6/30/2023,-110.12697,42.1781
RUE_23_34,34,6/30/2023,-110.01861,42.13822
RUE_23_35,35,6/30/2023,-110.08896,42.13918
RUE_23_36,36,6/30/2023,-110.09139,42.08216
RUE_23_37,37,7/3/2023,-109.64895,42.45332
RUE_23_38,38,7/3/2023,-109.6189,42.49631
RUE_23_39,39,7/3/2023,-109.5917,42.57228
RUE_23_40,40,7/3/2023,-109.70498,42.60501
RUE_23_41,41,7/5/2023,-109.84225,42.61793
RUE_23_42,42,7/5/2023,-109.84836,42.58735
RUE_23_43,43,7/5/2023,-109.86673,42.62919
RUE_23_44,44,7/5/2023,-109.8705,42.6564
RUE_23_45,45,7/12/2023,-109.07775,42.1508
RUE_23_46,46,7/13/2023,-109.01848,42.02161
RUE_23_47,47,7/13/2023,-109.0362,42.01071
RUE_23_48,48,7/13/2023,-109.06796,41.99609
RUE_23_49,49,7/13/2023,-109.03859,42.01737
RUE_23_50,50,7/14/2023,-109.18474,42.09371
RUE_23_51,51,7/14/2023,-109.17574,42.05159
RUE_23_52,52,7/14/2023,-109.1222698,42.07544062
RUE_23_53,53,7/14/2023,-109.0845105,42.27618087
RUE_23_54,54,7/17/2023,-109.87876,42.93312
RUE_23_55,55,7/17/2023,-109.95332,42.83567
RUE_23_56,56,7/18/2023,-110.10526,42.25301
RUE_23_57,57,7/18/2023,-110.14788,42.28754
RUE_23_58,58,7/18/2023,-110.12954,42.29646
RUE_23_59,59,7/18/2023,-110.15454,42.30723
RUE_23_60,60,7/18/2023,-109.02235,42.21653
RUE_23_61,61,7/19/2023,-109.06694,42.23811
RUE_23_62,62,7/19/2023,-109.01057,42.23571
RUE_23_63,63,7/19/2023,-109.11524,42.36439
RUE_23_64,64,7/19/2023,-109.10154,42.37054
RUE_23_65,65,7/20/2023,-110.09396,42.82227
RUE_23_66,66,7/24/2023,-110.01222,42.26428
RUE_23_67,67,7/24/2023,-109.95247,42.31693
RUE_23_68,68,7/24/2023,-109.97022,42.32679
RUE_23_69,69,7/25/2023,-109.44876,42.34999
RUE_23_70,70,7/25/2023,-109.4421992,42.37423099
RUE_23_71,71,7/25/2023,-109.39857,42.41266
RUE_23_72,72,7/25/2023,-109.45001,42.4204
RUE_23_73,73,7/26/2023,-109.87291,42.40477
RUE_23_74,74,7/26/2023,-109.86824,42.37768
RUE_23_75,75,7/26/2023,-109.81451,42.36488
RUE_23_76,76,7/27/2023,-110.2306,42.29493
RUE_23_77,77,7/27/2023,-110.19565,42.31117
RUE_23_78,78,7/27/2023,-110.31216,42.37891
RUE_23_79,79,7/28/2023,-110.36852,42.72934
RUE_23_80,80,7/28/2023,-110.06851,42.60318
